listing_id,host_since,host_acceptance_rate,superhost,host_total_listings,neighborhood,room_type,accommodates,beds,min_nights,total_reviews,avg_rating,price
3571,11/22/2008,NA,FALSE,3,Georgetown,NA,6,2,90,9,4.5,200
4197,12/12/2008,0.94,TRUE,2,CapitolHill,PrivateRoom,1,1,7,47,4.84,70
4373,12/27/2008,0.62,TRUE,3,Takoma,PrivateRoom,2,1,28,24,4.9,40
4375,12/27/2008,0.62,TRUE,3,Takoma,PrivateRoom,1,1,28,40,4.81,40
6165,12/30/2008,1,FALSE,18,Petworth,PrivateRoom,1,1,31,22,4.94,82
26147,12/30/2008,1,FALSE,18,Petworth,PrivateRoom,1,1,31,9,4.5,53
150109,6/20/2011,1,FALSE,1,DupontCircle,EntireHome/apt,2,1,31,NA,NA,135
153545,6/24/2011,0.99,TRUE,6,Petworth,PrivateRoom,1,1,7,38,4.63,59
155859,6/26/2011,0,FALSE,2,Takoma,PrivateRoom,1,1,31,130,4.87,50
158714,6/30/2011,1,TRUE,6,Georgetown,EntireHome/apt,2,1,180,32,4.93,68
196429,8/11/2011,0.75,FALSE,6,Takoma,EntireHome/apt,3,2,31,7,4.2,125
201116,8/17/2011,0.96,FALSE,1,Takoma,EntireHome/apt,2,2,31,220,4.49,90
204741,8/22/2011,1,FALSE,3,Bellevue,PrivateRoom,2,1,31,116,4.59,33
205809,8/23/2011,0.96,FALSE,1,Petworth,EntireHome/apt,6,4,31,31,4.67,103
223922,6/24/2011,0.99,TRUE,6,Petworth,EntireHome/apt,3,2,1,165,4.71,118
296196,12/22/2011,1,FALSE,1,DupontCircle,EntireHome/apt,4,1,3,NA,NA,149
326938,1/30/2012,0.53,TRUE,8,Georgetown,PrivateRoom,2,1,31,25,4.8,139
355527,9/1/2011,0.9,TRUE,4,CapitolHill,EntireHome/apt,3,1,2,149,4.78,175
382111,3/12/2012,1,TRUE,3,CapitolHill,EntireHome/apt,4,2,3,260,4.8,175
409582,3/30/2012,0.89,TRUE,6,CapitolHill,EntireHome/apt,2,1,2,551,4.87,126
453159,9/21/2009,0.96,TRUE,2,CapitolHill,EntireHome/apt,5,3,3,331,4.91,133
494144,6/30/2011,1,TRUE,6,Georgetown,EntireHome/apt,2,1,180,20,4.95,68
542144,6/17/2012,1,FALSE,2,CapitolHill,EntireHome/apt,2,1,31,30,4.9,145
560341,6/24/2011,0.99,TRUE,6,Petworth,PrivateRoom,2,1,30,22,4.72,59
563607,6/28/2012,0.99,TRUE,2,DupontCircle,EntireHome/apt,2,1,1,70,4.8,130
610655,7/23/2012,NA,FALSE,2,Petworth,NA,3,1,31,155,4.59,89
627758,1/30/2012,0.53,TRUE,8,Georgetown,EntireHome/apt,4,3,31,12,4.58,299
638604,1/30/2012,0.53,TRUE,8,Georgetown,EntireHome/apt,2,1,31,6,3.67,159
645298,6/30/2011,1,TRUE,6,Georgetown,EntireHome/apt,2,1,180,11,5,69
654835,1/30/2012,0.53,TRUE,8,Georgetown,PrivateRoom,2,2,31,14,4.62,139
713529,9/25/2012,1,FALSE,17,FortMcNair,PrivateRoom,3,1,1,605,4.31,91
834919,6/30/2011,1,TRUE,6,Georgetown,EntireHome/apt,2,1,90,18,4.94,68
841260,12/10/2010,0.48,FALSE,79,Petworth,PrivateRoom,1,1,31,14,4.43,39
842418,4/27/2012,0.93,TRUE,10,Downtown,EntireHome/apt,2,1,31,69,4.78,250
860336,4/15/2011,1,FALSE,8,DupontCircle,PrivateRoom,3,2,1,464,4.73,113
871825,1/5/2013,1,FALSE,1,CapitolHill,EntireHome/apt,3,1,31,18,4.83,120
887461,12/10/2010,0.48,FALSE,79,Petworth,PrivateRoom,1,1,31,16,4.44,39
925318,2/5/2013,1,FALSE,3,Petworth,PrivateRoom,2,1,31,NA,NA,50
997859,1/27/2012,1,TRUE,6,DupontCircle,EntireHome/apt,4,3,31,93,4.84,595
1048410,4/4/2013,0,FALSE,1,Petworth,EntireHome/apt,2,1,31,50,4.74,70
1083336,4/16/2013,1,TRUE,3,Petworth,EntireHome/apt,11,5,31,324,4.84,229
1092713,4/15/2011,1,FALSE,8,DupontCircle,EntireHome/apt,6,3,1,402,4.58,143
1116453,4/28/2013,0.17,FALSE,4,Georgetown,EntireHome/apt,3,2,90,11,4.55,69
1138235,3/24/2013,1,FALSE,1,Georgetown,EntireHome/apt,6,5,3,18,4.73,999
1174482,5/2/2010,0.64,TRUE,9,Takoma,EntireHome/apt,6,3,5,47,4.85,190
1205516,9/25/2012,1,FALSE,17,FortMcNair,PrivateRoom,1,1,1,350,4.48,70
1280092,2/26/2013,1,TRUE,2,Petworth,EntireHome/apt,4,2,2,117,4.76,120
1294389,6/21/2013,0.96,TRUE,3,Petworth,EntireHome/apt,4,3,31,38,4.63,100
1340402,6/26/2013,NA,FALSE,1,Takoma,EntireHome/apt,5,3,5,15,4.87,125
1571112,8/23/2013,0.93,TRUE,5,DupontCircle,EntireHome/apt,2,1,180,132,4.94,145
1593951,5/2/2010,0.64,TRUE,9,Takoma,EntireHome/apt,2,1,14,NA,NA,90
1601459,8/22/2012,NA,FALSE,4,Petworth,PrivateRoom,2,1,31,NA,NA,40
1628187,9/5/2013,0,FALSE,4,Takoma,PrivateRoom,1,1,21,43,4.93,45
1644701,5/2/2010,0.64,TRUE,9,Takoma,EntireHome/apt,4,2,7,14,4.77,140
1806338,10/16/2013,1,FALSE,2,CapitolHill,PrivateRoom,1,1,4,81,4.86,95
1860120,12/6/2013,NA,FALSE,2,Petworth,EntireHome/apt,2,2,2,165,4.92,90
1864715,10/14/2013,0.63,FALSE,383,Downtown,EntireHome/apt,3,2,31,15,4.93,294
1867513,10/14/2013,0.63,FALSE,383,Downtown,EntireHome/apt,5,2,31,26,4.76,364
1880860,11/3/2013,0.86,FALSE,3,CapitolHill,PrivateRoom,2,1,2,137,4.35,69
1978626,9/22/2012,0.95,FALSE,1,Takoma,EntireHome/apt,2,1,5,139,4.94,84
1997483,11/27/2013,1,TRUE,30,CapitolHill,EntireHome/apt,4,2,31,26,4.85,247
2060129,11/27/2013,1,TRUE,30,CapitolHill,EntireHome/apt,4,2,31,25,4.88,166
2111965,10/10/2013,0.96,TRUE,5,Takoma,PrivateRoom,1,1,1,15,4.87,75
2115421,12/10/2010,0.48,FALSE,79,DupontCircle,NA,1,1,31,9,4.67,55
2187594,1/9/2014,1,TRUE,1,Petworth,EntireHome/apt,4,2,7,138,4.99,69
2241084,1/18/2014,0.67,TRUE,2,Georgetown,EntireHome/apt,4,2,31,97,4.9,195
2277705,1/25/2014,0.99,TRUE,3,CapitolHill,EntireHome/apt,4,2,3,313,4.87,114
2304761,12/10/2010,0.48,FALSE,79,DupontCircle,PrivateRoom,1,1,31,10,4.78,55
2308259,1/30/2014,0.88,TRUE,1,Georgetown,EntireHome/apt,4,2,31,112,4.74,199
2308761,1/29/2014,1,TRUE,2,FortMcNair,EntireHome/apt,4,4,2,129,4.72,149
2337016,2/4/2014,0.82,TRUE,1,Takoma,EntireHome/apt,4,2,4,58,4.79,125
2361802,2/8/2014,1,TRUE,1,CapitolHill,EntireHome/apt,4,3,3,317,4.89,175
2371799,10/14/2013,0.63,FALSE,383,Downtown,EntireHome/apt,5,2,31,14,4.79,364
2380536,2/11/2014,0.96,TRUE,2,CapitolHill,EntireHome/apt,2,1,31,124,4.93,111
2410486,9/5/2013,0,FALSE,4,Takoma,PrivateRoom,1,1,21,54,4.91,35
2419118,9/5/2013,0,FALSE,4,Takoma,PrivateRoom,1,1,21,43,4.98,40
2476761,11/27/2013,1,TRUE,30,CapitolHill,EntireHome/apt,4,2,31,69,4.91,201
2477330,1/22/2014,1,FALSE,4,Downtown,PrivateRoom,2,1,2,276,4.48,88
2547672,10/10/2013,0.96,TRUE,5,Takoma,PrivateRoom,2,1,1,18,4.89,65
2657916,12/10/2010,0.48,FALSE,79,Petworth,PrivateRoom,1,1,31,28,4.56,29
2685655,6/6/2012,0.62,FALSE,2,Georgetown,EntireHome/apt,6,2,4,52,4.76,350
2690487,8/29/2013,0.93,FALSE,2,CapitolHill,EntireHome/apt,6,1,1,NA,NA,176
